6	67	73	0	0	0	0	0	10	64	129	2	0	0	0	0	7	3	122	9	3	0	0	0	0	0	68	23	10	0	0	0	8	108	107	7	2	0	3	3	3	66	129	36	11	1	1	1	0	0	129	16	4	0	0	0	1	3	129	31	6	0	6	2	9	24	12	2	1	1	80	76	3	14	36	10	7	3	129	36	1	0	54	0	1	1	129	1	10	6	58	0	5	7	90	58	5	7	65	0	0	0	33	24	13	8	54	2	9	2	74	12	10	27	48	6	19	33	129	8	18	42	43	3	3	22	129	60	
7	75	77	0	0	0	0	0	9	47	129	2	0	0	0	0	6	3	111	12	5	0	0	0	0	0	68	20	9	0	0	0	8	117	112	12	3	0	3	4	2	45	129	31	9	0	1	0	0	0	129	18	5	0	0	0	1	4	129	30	5	0	7	3	9	27	11	3	2	1	87	81	2	9	40	8	6	2	129	22	2	1	53	0	2	3	129	3	10	8	60	0	4	6	76	67	7	8	65	0	1	0	36	26	11	6	50	2	11	4	77	8	13	32	47	6	16	35	129	12	17	40	42	3	3	21	129	65	
7	79	80	0	0	0	0	0	8	34	130	3	0	0	0	0	5	2	101	15	6	0	0	0	0	1	67	17	7	0	0	0	7	118	117	16	5	0	3	4	1	29	130	27	7	0	0	0	1	0	130	21	5	0	1	0	1	6	130	31	4	0	6	3	8	28	12	4	3	2	95	81	1	5	44	6	4	2	130	12	3	1	53	0	3	4	130	6	10	9	61	1	4	5	63	75	8	8	63	0	1	0	38	26	8	6	48	3	13	6	81	6	16	37	46	5	13	36	130	17	16	38	39	3	4	21	130	68	
8	80	83	0	0	0	0	0	8	24	130	3	0	0	0	0	4	1	93	18	8	0	0	0	0	2	66	15	6	0	0	0	7	113	120	20	6	0	2	4	0	16	130	23	6	0	0	0	1	1	130	24	6	0	2	0	1	7	130	32	3	0	6	3	7	26	13	6	4	2	102	76	0	2	46	5	3	1	130	5	5	2	54	0	4	5	130	13	10	10	62	1	3	4	52	81	10	8	60	1	1	0	41	25	7	6	46	3	15	10	87	4	18	42	46	5	10	36	130	24	14	34	37	3	5	22	130	69	
8	77	87	0	0	0	0	0	8	16	130	3	0	0	0	0	3	1	87	22	10	0	0	0	1	3	64	12	4	0	0	0	6	104	124	23	7	0	2	3	0	9	130	19	5	0	0	0	1	1	130	27	7	0	3	1	1	9	130	34	3	0	5	3	7	24	14	7	4	2	109	68	0	1	48	3	2	0	130	1	7	3	56	0	5	7	130	21	10	11	64	2	2	3	44	84	11	8	55	1	2	0	44	22	5	8	45	4	17	13	95	3	20	45	47	4	8	35	130	32	13	31	33	4	6	25	130	69	
8	71	89	0	0	0	0	0	8	10	130	4	1	0	0	0	1	0	82	25	12	0	0	0	3	4	62	10	3	0	0	0	5	90	128	26	8	1	2	2	0	4	130	16	3	0	0	0	2	1	130	30	8	0	4	1	1	11	130	36	2	0	5	3	5	21	17	8	5	3	115	56	0	0	49	2	1	0	130	0	9	4	58	0	6	8	130	32	10	13	65	2	1	2	38	84	12	8	50	1	2	0	46	19	5	11	44	4	19	18	105	3	22	47	49	4	5	32	130	43	11	27	29	4	8	30	130	66	
8	64	91	1	0	0	0	0	8	6	125	4	1	0	0	0	0	0	78	29	13	0	0	0	4	5	59	7	1	0	0	1	4	75	130	29	9	1	2	2	0	1	130	13	2	0	0	0	2	1	130	33	9	0	5	2	1	13	130	39	1	1	4	3	4	16	20	8	6	3	120	44	0	0	49	0	0	0	130	0	11	5	62	0	7	10	127	45	10	14	68	3	0	0	35	82	12	7	45	1	2	0	49	15	5	14	44	5	21	22	117	4	23	50	49	3	3	29	130	53	10	22	27	5	9	35	130	63	
7	54	95	1	0	0	0	0	8	3	117	6	2	0	0	0	0	0	77	29	13	0	0	0	6	7	53	7	1	1	1	2	3	59	131	29	8	0	1	1	0	0	131	12	3	0	0	0	2	3	131	36	8	0	7	2	1	16	131	40	1	1	4	3	3	12	23	8	6	2	123	32	0	0	49	0	0	0	131	0	11	6	65	0	7	9	113	58	12	15	72	3	0	0	33	81	11	6	40	1	5	0	51	11	7	20	44	6	19	27	131	5	22	50	50	3	3	26	131	64	10	17	24	4	10	40	131	61	
7	42	99	1	0	0	0	0	6	3	108	9	4	0	0	0	0	0	79	26	12	0	0	0	9	9	46	8	1	2	2	4	2	42	133	25	7	0	1	0	0	0	133	15	4	0	0	0	2	4	133	36	7	0	7	3	2	20	133	40	2	2	4	3	2	9	27	7	5	2	126	22	1	0	49	0	1	2	133	1	12	8	68	0	6	8	99	71	16	17	76	2	0	1	31	81	9	5	38	1	7	1	54	7	10	26	43	5	16	31	133	8	21	48	50	3	4	25	133	72	10	14	21	4	11	41	133	60	
6	31	102	2	0	0	0	0	5	2	100	12	5	0	0	0	0	0	81	22	10	0	0	0	12	11	38	9	1	2	5	7	1	28	133	22	6	0	0	0	1	0	133	18	5	0	0	0	2	6	133	36	6	0	8	3	2	25	133	39	2	3	4	3	1	5	30	5	4	1	128	13	2	1	49	0	2	3	133	3	12	10	71	1	5	7	85	83	19	18	81	2	0	1	30	80	7	4	36	2	9	3	57	5	13	32	43	5	13	33	133	12	20	46	49	4	4	25	133	78	11	10	19	3	12	41	133	61	
